"number_of_casualties","LAD22CD","fr_m","fr_am","fr_a","fr_b","fr_c","fr_u","sr_unk","sr_n","sr_m","sr_am","sr_a","sr_b","sr_c","sr_u","rt_r","rt_ow","rt_dc","rt_sc","rt_sr","jd_n","jd_r","jd_mr","jd_tsj","jd_sr","jd_c","jd_m","jd_pe","jd_o","jc_ap","jc_ats","jc_ss","jc_gu","phc_n","phc_c","ppf_n","ppf_njl","ppf_ptsj","ppf_fs","ppf_zcr","lc_l","lc_dl","lc_dln","lc_dn","lc_dlu","wc_hw","wc_f","wc_r","wc_s","wc_fm","rsc_d","rsc_w","rsc_s","rsc_fi","rsc_fl","sc_n","sc_ap","sc_rr","sc_od","sc_m","ch_n","ch_vo","ch_pa","ch_lo","u_y","u_n","sp20","sp30","sp40","sp50","sp60","sp70"
191,"E09000030",0,0,0.740506329113924,0.113924050632911,0.0316455696202532,0.113924050632911,0,0.240506329113924,0,0,0.170886075949367,0.10126582278481,0.0949367088607595,0.392405063291139,0.0316455696202532,0.069620253164557,0.259493670886076,0.575949367088608,0.0253164556962025,0.240506329113924,0.0316455696202532,0.0126582278481013,0.341772151898734,0.0316455696202532,0.19620253164557,0.0443037974683544,0.0126582278481013,0.069620253164557,0.00632911392405063,0.310126582278481,0.0253164556962025,0.39873417721519,0.879746835443038,0.0506329113924051,0.379746835443038,0.183544303797468,0.253164556962025,0,0.120253164556962,0.588607594936709,0.386075949367089,0,0,0.0253164556962025,0.0316455696202532,0.778481012658228,0.120253164556962,0,0,0.810126582278481,0.170886075949367,0,0,0,0.924050632911392,0.00632911392405063,0.0189873417721519,0,0,0.905063291139241,0.0443037974683544,0,0,0.987341772151899,0.0126582278481013,0.525316455696203,0.430379746835443,0.0316455696202532,0.0126582278481013,0,0
235,"E09000022",0,0,0.746478873239437,0.0610328638497653,0.0563380281690141,0.136150234741784,0,0.197183098591549,0,0,0.183098591549296,0.0516431924882629,0.107981220657277,0.460093896713615,0.00938967136150235,0.0704225352112676,0.164319248826291,0.685446009389671,0.0187793427230047,0.197183098591549,0.0140845070422535,0.00469483568075117,0.380281690140845,0.0187793427230047,0.164319248826291,0.0516431924882629,0.0375586854460094,0.107981220657277,0.0140845070422535,0.272300469483568,0.00938967136150235,0.488262910798122,0.873239436619718,0.0375586854460094,0.446009389671362,0.112676056338028,0.206572769953052,0,0.154929577464789,0.685446009389671,0.276995305164319,0.00469483568075117,0,0.0328638497652582,0.0140845070422535,0.845070422535211,0.0563380281690141,0,0,0.830985915492958,0.126760563380282,0.00469483568075117,0,0,0.953051643192488,0,0.00469483568075117,0,0,0.934272300469484,0.00469483568075117,0.00938967136150235,0.00469483568075117,1,0,0.553990610328638,0.44131455399061,0.00469483568075117,0,0,0
65,"E09000029",0,0,0.327272727272727,0.272727272727273,0.0909090909090909,0.309090909090909,0,0.272727272727273,0,0,0.0363636363636364,0.0727272727272727,0.0363636363636364,0.581818181818182,0.0727272727272727,0.0545454545454545,0.0909090909090909,0.690909090909091,0.0727272727272727,0.272727272727273,0.0181818181818182,0.0727272727272727,0.436363636363636,0.0363636363636364,0.0909090909090909,0,0.0181818181818182,0.0181818181818182,0,0.0363636363636364,0,0.690909090909091,0.981818181818182,0,0.690909090909091,0.181818181818182,0.0363636363636364,0,0.0363636363636364,0.781818181818182,0.2,0.0181818181818182,0,0,0,0.872727272727273,0.0545454545454545,0,0.0181818181818182,0.781818181818182,0.181818181818182,0,0.0181818181818182,0,1,0,0,0,0,0.927272727272727,0.0363636363636364,0,0.0181818181818182,1,0,0.2,0.763636363636364,0.0363636363636364,0,0,0
247,"E09000033",0,0,0.615740740740741,0.0555555555555556,0.125,0.203703703703704,0,0.259259259259259,0,0,0.185185185185185,0.0416666666666667,0.12037037037037,0.393518518518519,0.037037037037037,0.134259259259259,0.236111111111111,0.509259259259259,0.0185185185185185,0.259259259259259,0.0277777777777778,0.00925925925925926,0.347222222222222,0.0138888888888889,0.236111111111111,0.037037037037037,0.0138888888888889,0.0462962962962963,0.0138888888888889,0.324074074074074,0.0231481481481481,0.365740740740741,0.87037037037037,0.0324074074074074,0.421296296296296,0.162037037037037,0.231481481481481,0,0.0925925925925926,0.675925925925926,0.300925925925926,0.00462962962962963,0,0.0185185185185185,0.0138888888888889,0.791666666666667,0.111111111111111,0.00925925925925926,0,0.782407407407407,0.185185185185185,0,0.00925925925925926,0,0.898148148148148,0.00462962962962963,0.0416666666666667,0,0,0.907407407407407,0.0416666666666667,0,0.00925925925925926,0.99537037037037,0.00462962962962963,0.694444444444444,0.305555555555556,0,0,0,0
92,"E09000026",0.0136986301369863,0,0.616438356164384,0.0684931506849315,0.0958904109589041,0.205479452054795,0,0.178082191780822,0,0,0.164383561643836,0.0273972602739726,0.123287671232877,0.506849315068493,0.0410958904109589,0.0273972602739726,0.26027397260274,0.575342465753425,0.0547945205479452,0.178082191780822,0.0684931506849315,0.0273972602739726,0.342465753424658,0.0410958904109589,0.123287671232877,0.0547945205479452,0.0273972602739726,0.123287671232877,0,0.219178082191781,0.0136986301369863,0.575342465753425,0.808219178082192,0.0273972602739726,0.534246575342466,0.150684931506849,0.136986301369863,0,0.0273972602739726,0.589041095890411,0.397260273972603,0,0,0.0136986301369863,0.0136986301369863,0.726027397260274,0.136986301369863,0,0.0273972602739726,0.780821917808219,0.191780821917808,0.0136986301369863,0,0,0.931506849315068,0.0136986301369863,0,0,0,0.958904109589041,0.0136986301369863,0,0,0.876712328767123,0.123287671232877,0.0821917808219178,0.698630136986301,0.150684931506849,0.0410958904109589,0,0.0273972602739726
181,"E09000008",0,0,0.606451612903226,0.148387096774194,0.0967741935483871,0.148387096774194,0,0.225806451612903,0,0,0.12258064516129,0.032258064516129,0.0774193548387097,0.541935483870968,0.0451612903225806,0.0258064516129032,0.135483870967742,0.735483870967742,0.0129032258064516,0.225806451612903,0.0451612903225806,0.00645161290322581,0.348387096774194,0.0129032258064516,0.0774193548387097,0.0258064516129032,0.0387096774193548,0.187096774193548,0,0.129032258064516,0.0129032258064516,0.593548387096774,0.92258064516129,0.0258064516129032,0.625806451612903,0.0645161290322581,0.109677419354839,0,0.141935483870968,0.709677419354839,0.251612903225806,0.0193548387096774,0.00645161290322581,0.0129032258064516,0.0258064516129032,0.812903225806452,0.148387096774194,0,0.00645161290322581,0.780645161290323,0.193548387096774,0,0.00645161290322581,0,0.954838709677419,0.0193548387096774,0,0.00645161290322581,0,0.948387096774194,0.0193548387096774,0.00645161290322581,0,0.974193548387097,0.0258064516129032,0.180645161290323,0.787096774193548,0.032258064516129,0,0,0
100,"E09000011",0,0,0.606741573033708,0.0561797752808989,0.0561797752808989,0.280898876404494,0,0.258426966292135,0,0,0.101123595505618,0,0.0898876404494382,0.550561797752809,0.0786516853932584,0.0561797752808989,0.123595505617978,0.674157303370786,0.0337078651685393,0.258426966292135,0.101123595505618,0.0112359550561798,0.314606741573034,0.0112359550561798,0.123595505617978,0.0224719101123595,0,0.123595505617978,0.0337078651685393,0.157303370786517,0,0.528089887640449,0.921348314606742,0.0224719101123595,0.640449438202247,0.0786516853932584,0.0674157303370786,0,0.112359550561798,0.696629213483146,0.269662921348315,0,0.0112359550561798,0.0224719101123595,0.0224719101123595,0.764044943820225,0.112359550561798,0,0,0.797752808988764,0.191011235955056,0,0,0,0.943820224719101,0,0.0112359550561798,0,0,0.910112359550562,0.0561797752808989,0,0.0112359550561798,0.97752808988764,0.0224719101123595,0.168539325842697,0.752808988764045,0.0449438202247191,0.0337078651685393,0,0
98,"E09000016",0.028169014084507,0,0.352112676056338,0.126760563380282,0.23943661971831,0.253521126760563,0,0.408450704225352,0,0,0.0422535211267606,0.0140845070422535,0.183098591549296,0.352112676056338,0.0422535211267606,0.0563380281690141,0.211267605633803,0.633802816901408,0.0422535211267606,0.408450704225352,0.0422535211267606,0.0140845070422535,0.323943661971831,0,0.0704225352112676,0.0422535211267606,0.0422535211267606,0.0422535211267606,0,0.0563380281690141,0,0.52112676056338,0.943661971830986,0.0140845070422535,0.732394366197183,0.0422535211267606,0.0704225352112676,0.0140845070422535,0.112676056338028,0.774647887323944,0.197183098591549,0.0140845070422535,0,0.0140845070422535,0.028169014084507,0.873239436619718,0.0845070422535211,0,0,0.859154929577465,0.112676056338028,0,0,0.0140845070422535,0.929577464788732,0.0140845070422535,0.028169014084507,0,0,0.943661971830986,0,0,0.0140845070422535,0.774647887323944,0.225352112676056,0.0563380281690141,0.71830985915493,0.0563380281690141,0.0845070422535211,0,0.0845070422535211
193,"E09000028",0,0,0.654545454545455,0.0666666666666667,0.0545454545454545,0.224242424242424,0,0.260606060606061,0,0,0.145454545454545,0.0424242424242424,0.0545454545454545,0.496969696969697,0.0121212121212121,0.0666666666666667,0.151515151515152,0.703030303030303,0.0242424242424242,0.260606060606061,0.0242424242424242,0.00606060606060606,0.272727272727273,0.00606060606060606,0.096969696969697,0.0484848484848485,0.0121212121212121,0.224242424242424,0.0181818181818182,0.175757575757576,0,0.490909090909091,0.896969696969697,0.0242424242424242,0.503030303030303,0.127272727272727,0.133333333333333,0,0.151515151515152,0.666666666666667,0.296969696969697,0.0181818181818182,0,0.0181818181818182,0.0181818181818182,0.884848484848485,0.0727272727272727,0,0,0.836363636363636,0.145454545454545,0,0.00606060606060606,0,0.957575757575758,0,0.0121212121212121,0,0,0.939393939393939,0.0242424242424242,0,0.0121212121212121,0.993939393939394,0.00606060606060606,0.690909090909091,0.309090909090909,0,0,0,0
93,"E09000020",0,0,0.658536585365854,0.0609756097560976,0.134146341463415,0.146341463414634,0,0.146341463414634,0,0,0.25609756097561,0.0365853658536585,0.170731707317073,0.390243902439024,0.0609756097560976,0.0609756097560976,0.24390243902439,0.573170731707317,0.0121951219512195,0.146341463414634,0.0853658536585366,0,0.341463414634146,0,0.231707317073171,0.0731707317073171,0.0121951219512195,0.0609756097560976,0,0.426829268292683,0.0121951219512195,0.365853658536585,0.841463414634146,0.0609756097560976,0.341463414634146,0.109756097560976,0.390243902439024,0,0.121951219512195,0.695121951219512,0.280487804878049,0.0121951219512195,0.0121951219512195,0,0.0121951219512195,0.853658536585366,0.0853658536585366,0.0121951219512195,0,0.902439024390244,0.0975609756097561,0,0,0,0.951219512195122,0,0.024390243902439,0,0,0.98780487804878,0,0,0,0.975609756097561,0.024390243902439,0.5,0.475609756097561,0.024390243902439,0,0,0
